Maturity Level,Capability Area,Level Number,Description
Initial,Talent & Skills,1,"Basic understanding, ad-hoc activities, reliance on external expertise"
Initial,AI Tools & Technology,1,"Basic understanding, ad-hoc activities, reliance on external expertise"
Initial,Data Infrastructure,1,"Basic understanding, ad-hoc activities, reliance on external expertise"
Initial,AI Literacy,1,"Basic understanding, ad-hoc activities, reliance on external expertise"
Initial,Strategic Purpose,1,"Basic understanding, ad-hoc activities, reliance on external expertise"
Developing,Talent & Skills,2,"Growing internal team, standardized processes, basic training programs"
Developing,AI Tools & Technology,2,"Growing internal team, standardized processes, basic training programs"
Developing,Data Infrastructure,2,"Growing internal team, standardized processes, basic training programs"
Developing,AI Literacy,2,"Growing internal team, standardized processes, basic training programs"
Developing,Strategic Purpose,2,"Growing internal team, standardized processes, basic training programs"
Defined,Talent & Skills,3,"Established team structure, defined methodologies, internal knowledge sharing"
Defined,AI Tools & Technology,3,"Established team structure, defined methodologies, internal knowledge sharing"
Defined,Data Infrastructure,3,"Established team structure, defined methodologies, internal knowledge sharing"
Defined,AI Literacy,3,"Established team structure, defined methodologies, internal knowledge sharing"
Defined,Strategic Purpose,3,"Established team structure, defined methodologies, internal knowledge sharing"
Managed,Talent & Skills,4,"Advanced capabilities, proactive approach, continuous improvement"
Managed,AI Tools & Technology,4,"Advanced capabilities, proactive approach, continuous improvement"
Managed,Data Infrastructure,4,"Advanced capabilities, proactive approach, continuous improvement"
Managed,AI Literacy,4,"Advanced capabilities, proactive approach, continuous improvement"
Managed,Strategic Purpose,4,"Advanced capabilities, proactive approach, continuous improvement"
Optimized,Talent & Skills,5,"Industry-leading expertise, innovation center, advanced optimization"
Optimized,AI Tools & Technology,5,"Industry-leading expertise, innovation center, advanced optimization"
Optimized,Data Infrastructure,5,"Industry-leading expertise, innovation center, advanced optimization"
Optimized,AI Literacy,5,"Industry-leading expertise, innovation center, advanced optimization"
Optimized,Strategic Purpose,5,"Industry-leading expertise, innovation center, advanced optimization"
